,Unnamed: 0,purchases,time_spent,n_visits,customer_group_2,customer_group_3,customer_group_4,customer_group_5,customer_group_6,customer_group_7,customer_group_8,customer_group_9,onboarding_True
1223,0.4084758123328741,0.7202164522514855,0.766800603966936,0.4687289331580596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
218,0.0727655781541204,0.1594606691210773,0.3323509830163633,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1755,0.5912000648245685,0.4959141389993221,0.3941428420347206,0.0468728933158059,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1250,0.418199497609594,0.4959141389993221,0.6770806814001222,0.2812373598948357,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1559,0.529859816870594,0.6080652956254038,0.2321106913251069,0.5156018264738655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2702,0.9161332144882912,0.271611825747159,0.3340853835026078,0.4218560398422536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2614,0.8897982335305081,0.3837629823732406,0.1199196106499838,0.0468728933158059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
769,0.260432703994814,0.4959141389993221,0.8623115159064914,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2803,0.9539745563568592,0.4959141389993221,0.7807255896972074,0.3749831465264476,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2884,0.9813629365529536,0.1594606691210773,0.2167341995840837,0.7499662930528953,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2048,0.7029414147962079,0.4959141389993221,0.6479983673938832,0.8437120796845072,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
363,0.1233287415930637,0.6080652956254038,0.6869561073655452,0.3281102532106417,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,0.6862490884045054,0.7202164522514855,0.2069129649794621,0.2343644665790297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1499,0.5087918321043676,0.7202164522514855,0.3212864822384524,0.8905849730003133,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
885,0.3010290900251195,0.6080652956254038,0.520419277277945,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1260,0.420387326796856,0.3837629823732406,0.8137489173075343,0.0468728933158059,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
219,0.0739810388137103,0.4959141389993221,0.984224182357218,0.3281102532106417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
946,0.3212867676849525,0.0473095124949957,0.9212300415703716,0.2343644665790297,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
874,0.2979499230208249,0.4959141389993221,0.4843229089151335,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1006,0.340653107527753,0.271611825747159,0.5841649700405132,0.6562205064212835,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1511,0.5136536747427275,0.4959141389993221,0.2199109028750077,0.7499662930528953,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
425,0.1434243578316181,0.9445187655036484,0.5652189248252637,0.7030933997370894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1182,0.3955919293412203,1.0,0.5508926327406942,0.2812373598948357,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2709,0.9207519649947332,0.6080652956254038,0.2463045433183639,0.7968391863687013,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
465,0.1568754557977473,0.4959141389993221,0.631604412522647,0.3281102532106417,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2522,0.8579531642492505,0.0473095124949957,0.2103390566792344,0.4687289331580596,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1474,0.4993112389595657,0.4959141389993221,0.8158356076385931,0.0937457866316119,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1725,0.5816384409691273,0.1594606691210773,0.9289594414225482,0.0468728933158059,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
135,0.0426221537962887,0.4959141389993221,0.4131218987911298,0.3749831465264476,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
186,0.0625557086135645,0.3837629823732406,0.8198891797925323,0.9374578663161192,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
960,0.3257434567701158,0.4959141389993221,0.4722306006961512,0.6562205064212835,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2584,0.8800745482537883,0.9445187655036484,0.384778492933628,0.6562205064212835,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2137,0.7293574264646302,0.4959141389993221,0.8369494628617593,0.5156018264738655,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
939,0.3180455392593793,0.271611825747159,0.2709526486165519,0.3749831465264476,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2144,0.7313021635199741,0.271611825747159,0.5311389167809799,0.0468728933158059,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
493,0.1705696458957945,0.4959141389993221,0.459887770526092,0.8905849730003133,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2590,0.8819382545984928,0.3837629823732406,0.6537758654153585,0.2343644665790297,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2770,0.9402803662588122,0.0473095124949957,0.3805065944581747,0.0468728933158059,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1998,0.6846284741917187,0.6080652956254038,0.6042990468726388,0.1874915732632238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
989,0.3366826027064257,1.0,0.0396712269916452,0.7499662930528953,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
420,0.1416416821975528,0.3837629823732406,0.3568984521390024,0.7499662930528953,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2728,0.9286119439267484,0.271611825747159,0.5281017579644374,0.2812373598948357,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
625,0.2165140588282959,0.1594606691210773,0.5291978816121765,0.1874915732632238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1585,0.5373956729600519,0.271611825747159,0.7803625136012386,0.4218560398422536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
231,0.076330929422251,0.3837629823732406,0.0847045789571891,0.5156018264738655,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
151,0.0483753342516813,0.0473095124949957,0.2060252338345729,0.0468728933158059,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2417,0.8264322178105502,0.271611825747159,0.2396596727099136,0.5156018264738655,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1434,0.4868325095211085,0.271611825747159,0.654551161468131,0.9843307596319252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2386,0.8133052426869785,0.3837629823732406,0.3834607561967393,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1692,0.5713475407179321,0.271611825747159,0.7300358978047337,0.1874915732632238,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2264,0.7736812251843449,0.832367608877567,0.4183289017821798,0.0468728933158059,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
695,0.2380682278583583,0.6080652956254038,0.2693305541342821,0.0937457866316119,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2570,0.8759419820111823,0.1594606691210773,0.5913458569646797,0.1406186799474178,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1553,0.5277530183939714,1.0,0.5479402350154339,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1337,0.4502066283121303,0.6080652956254038,0.3389486202613767,0.4218560398422536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1236,0.4134997163925127,0.832367608877567,0.6312523589711296,0.1874915732632238,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1151,0.3878129811198444,0.3837629823732406,0.444436109664053,0.0468728933158059,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2497,0.8492828782108419,1.0,0.838710836487055,0.1874915732632238,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1091,0.3653674742727493,0.1594606691210773,0.6129539121320837,0.1406186799474178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
843,0.2873348999270723,0.9445187655036484,0.5534961466148474,0.0468728933158059,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1550,0.5259703427599061,0.271611825747159,0.2277374777484468,0.6093476131054775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2101,0.7214164168219755,0.271611825747159,0.3529801739062947,0.7499662930528953,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
847,0.289198606271777,0.271611825747159,0.5036998340225569,0.2812373598948357,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2786,0.9496799286929748,0.6080652956254038,0.0210898163110133,0.1874915732632238,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
269,0.0901871809415768,0.6080652956254038,0.7835787198207282,0.3281102532106417,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2650,0.9026010858115228,0.3837629823732406,0.6399880192917382,0.4687289331580596,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1820,0.6149420630418929,0.4959141389993221,0.3281601819137107,0.8437120796845072,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
709,0.2431731626286362,0.1594606691210773,0.299456662052961,0.6562205064212835,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2194,0.7492099505712666,0.271611825747159,0.6631342869361956,0.0937457866316119,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1318,0.4432379871971477,0.3837629823732406,0.6926968263943176,0.1874915732632238,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1938,0.6608054452637551,0.0473095124949957,0.6552533986216535,0.1874915732632238,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1428,0.4844826189125679,0.4959141389993221,0.0342389107262994,0.0937457866316119,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1351,0.4561218701888015,0.6080652956254038,0.5571448538661246,0.7030933997370894,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1302,0.4361883153715258,0.271611825747159,0.4706548524922742,0.5624747197896716,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1081,0.3631796450854874,0.6080652956254038,0.0,0.0937457866316119,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
731,0.2477919131350782,0.3837629823732406,0.4201094679341746,0.2812373598948357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2074,0.7120978850984524,0.3837629823732406,0.2868112626105739,0.4218560398422536,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1024,0.3486751478810469,0.4959141389993221,0.1997032588097727,0.0937457866316119,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1498,0.5084677092618103,0.6080652956254038,0.6630359883246717,0.9374578663161192,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2717,0.9245604083947816,0.0473095124949957,0.4459899943093131,0.3749831465264476,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2067,0.7100721173324691,0.271611825747159,0.0,0.2812373598948357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1214,0.4061259217243335,0.3837629823732406,0.1726619347815754,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2244,0.7672797990438377,0.9445187655036484,0.3860859710741118,0.8437120796845072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2863,0.9757718175188396,0.1594606691210773,0.615330975873714,0.5624747197896716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
392,0.1324041811846689,0.0473095124949957,0.6678513841431633,0.2343644665790297,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1778,0.5996272587310592,0.9445187655036484,0.2772677622661184,0.1406186799474178,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1121,0.3776841422899278,1.0,0.2446016689539836,0.6093476131054775,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
581,0.203143991572806,0.1594606691210773,1.0000000000000004,0.6093476131054775,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2192,0.7480755206223159,0.3837629823732406,0.7637660701348099,0.5156018264738655,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1597,0.5403938092537072,0.0473095124949957,0.6928061109040873,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1243,0.4159306377116927,0.7202164522514855,0.6127544724977732,0.4687289331580596,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
804,0.2740458633822218,0.4959141389993221,0.2510220806478433,0.3281102532106417,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
572,0.1990924560408394,0.7202164522514855,0.6428004574166479,0.0468728933158059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1194,0.4010209869540556,0.4959141389993221,0.5142379045854009,0.6093476131054775,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
698,0.2395267806498663,0.271611825747159,0.5757566557159888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1834,0.6221537962887935,0.6080652956254038,0.883963542877253,0.7030933997370894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2646,0.9006563487561786,0.1594606691210773,0.0,0.6562205064212835,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
322,0.1100397050482132,0.832367608877567,0.5212557411107306,0.3749831465264476,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1600,0.5415282392026579,0.3837629823732406,0.6286820451254642,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
627,0.2169192123814926,0.4959141389993221,0.959886947371785,0.8437120796845072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2374,0.8077141236528644,0.6080652956254038,0.487330141773405,0.0468728933158059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
317,0.1076898144396726,0.3837629823732406,0.468974652334762,0.6093476131054775,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
837,0.285309132161089,0.6080652956254038,0.7998609288375071,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2720,0.925856899765011,0.3837629823732406,0.21921693226213,0.1874915732632238,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1807,0.610080220403533,0.6080652956254038,0.4439035453997419,0.2343644665790297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1947,0.664208735110607,0.3837629823732406,0.6413279942280301,0.5624747197896716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2424,0.8283769548658942,0.4959141389993221,0.4197156332646545,0.2812373598948357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1659,0.5605704562029009,0.9445187655036484,0.2999839556853128,0.2812373598948357,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
806,0.2744510169354185,0.4959141389993221,0.4254885226050748,0.3281102532106417,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2795,0.951948788590876,0.0473095124949957,0.4802673746667714,0.4218560398422536,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
606,0.2105988169516246,0.4959141389993221,0.5482958401109617,0.1874915732632238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
710,0.2435783161818329,0.271611825747159,0.7936641430038551,0.2812373598948357,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1642,0.5540879993517543,0.6080652956254038,0.4056749921418325,0.9374578663161192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2918,0.9946519730978042,0.7202164522514855,0.3304021855777916,0.5624747197896716,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
206,0.0687140426221537,0.271611825747159,0.4829047569881175,0.1874915732632238,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
924,0.31310266591038,0.3837629823732406,0.3566213470076707,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1561,0.530102909002512,0.1594606691210773,0.3112564407977913,0.0937457866316119,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2209,0.7531804553925938,0.271611825747159,0.4555796919050809,0.4687289331580596,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2880,0.9803905680252816,0.0473095124949957,0.6353092012286967,0.1406186799474178,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
678,0.2337736001944737,0.6080652956254038,0.485183668928268,0.0937457866316119,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2376,0.8091726764443725,0.832367608877567,0.7443681433823586,0.3281102532106417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2893,0.9849282878210842,0.832367608877567,0.450204014525069,0.2812373598948357,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2504,0.8523620452151366,0.6080652956254038,0.4580894547850955,0.4687289331580596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2494,0.8482294789725306,0.7202164522514855,0.2940083585152706,0.3281102532106417,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
118,0.0348432055749129,0.832367608877567,0.8224968439172029,0.6093476131054775,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
419,0.1413985900656348,0.6080652956254038,0.6467558809240463,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2627,0.8949841990114253,0.271611825747159,0.3028017017865378,0.1406186799474178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1966,0.6724738675958188,0.7202164522514855,0.2206486461641841,0.7030933997370894,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1421,0.4822947897253059,0.4959141389993221,0.3773073862701217,0.1406186799474178,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1630,0.5512519244793778,0.4959141389993221,0.7581909409433405,0.7968391863687013,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2325,0.7928855036058666,0.271611825747159,0.1903784828177852,0.1874915732632238,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
112,0.0327364070982902,0.3837629823732406,0.139849473051183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
685,0.2359614293817356,0.271611825747159,0.6451932887243816,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
879,0.2998136293655295,0.3837629823732406,1.0000000000000004,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
276,0.0918077951543635,0.3837629823732406,0.7475759514099778,0.0937457866316119,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1167,0.3914593630986143,0.6080652956254038,0.8954006827653265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2126,0.7259541366177782,0.6080652956254038,0.1631758331313357,0.2812373598948357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1591,0.5386111336196419,0.271611825747159,0.6643871907104573,0.6562205064212835,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1728,0.5843124544202253,0.4959141389993221,0.3381604886226661,0.3749831465264476,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1376,0.4632525727250628,0.3837629823732406,0.5667667728222279,0.7030933997370894,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2556,0.8714042622153797,0.3837629823732406,0.3180738081420649,0.3281102532106417,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
316,0.1072036301758366,0.6080652956254038,0.5850443153752249,0.0468728933158059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
959,0.3252572725062799,0.3837629823732406,0.6980502607731962,0.2812373598948357,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1744,0.5882829592415526,0.3837629823732406,0.5350997804416013,0.6093476131054775,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1904,0.6477595008508226,0.1594606691210773,0.5001960123538338,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
838,0.286038408556843,0.1594606691210773,0.521996122860175,0.2343644665790297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
439,0.1477189854955028,0.832367608877567,0.7704264938273147,0.5624747197896716,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1271,0.4241957701969046,0.6080652956254038,0.3147408959769571,0.4687289331580596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2416,0.8259460335467143,0.3837629823732406,0.8146851296810778,0.5624747197896716,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
852,0.2912243740377603,0.832367608877567,0.0922319006569014,0.2812373598948357,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1079,0.3629365529535694,0.4959141389993221,0.8063231899496057,0.0468728933158059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
863,0.2946276638846122,0.3837629823732406,0.6212743120632878,0.0468728933158059,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1464,0.496718256219107,0.3837629823732406,0.2244092077659236,0.7499662930528953,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2212,0.7544769467628232,0.4959141389993221,0.8819215450253712,0.0468728933158059,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
783,0.2653755773438133,0.4959141389993221,0.0,0.7499662930528953,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1997,0.6843853820598007,0.7202164522514855,0.6441710848113997,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1950,0.6653431650595576,0.1594606691210773,0.9495903921609624,0.7499662930528953,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1673,0.5651081759987036,0.3837629823732406,0.8788644449315126,0.7030933997370894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1240,0.414796207762742,1.0,0.4638811077720053,0.4218560398422536,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2555,0.8710801393728224,0.6080652956254038,0.3974268686372713,0.3749831465264476,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2255,0.7716554574183616,0.6080652956254038,0.9978311260772212,0.1874915732632238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1219,0.4078275666477595,0.6080652956254038,0.6310054383128407,0.0937457866316119,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1366,0.4602544364314075,0.4959141389993221,0.3322238003299422,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1466,0.497204440482943,0.7202164522514855,0.6964429014306788,0.5156018264738655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
747,0.2529778786159954,0.6080652956254038,0.522298790898525,0.9374578663161192,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
993,0.3374118791021797,0.4959141389993221,0.7889349414786957,0.1406186799474178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1524,0.5165707803257436,0.271611825747159,0.3539075283488659,0.7030933997370894,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
529,0.1845069281257596,0.271611825747159,0.7325458031263432,0.2343644665790297,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
234,0.0767360829754476,0.1594606691210773,0.5604313699015688,0.2812373598948357,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
